audit_id,order_id,field_name,old_value,new_value,changed_at,changed_by
1,31914,order_total,7DD25R,MWBE2F,2025-06-29T21:56:29,system
2,81866,shipping_address,W7Y8JB,RUV0VW,2025-08-24T17:21:15,support
3,64397,shipping_address,5FMA1K,IE3IER,2024-10-13T08:39:11,support
4,64916,customer_phone,JVY8OE,4GDIIR,2025-07-24T11:14:25,system
5,5284,customer_phone,2HP7FA,4MGQRM,2024-10-05T19:54:24,system
6,108089,customer_phone,ND2S0N,YP8EC3,2024-02-22T03:03:01,support
7,76290,current_status,LAD69H,NBPWSG,2025-07-05T15:03:50,ops
8,30061,current_status,MS2GFA,QN5BC8,2024-03-10T23:06:06,support
9,44703,current_status,624NAP,6F3FZZ,2025-06-06T00:21:21,system
10,113611,customer_phone,NQALW2,C2LJIX,2025-04-23T01:11:24,ops
11,77329,notes,3KTEBP,5H5ETI,2026-02-16T09:22:58,system
12,68373,customer_phone,YQPSQN,K4QW70,2025-07-15T03:50:44,ops
13,107568,current_status,RO1QFO,ZU0FRQ,2025-08-15T01:36:01,ops
14,11891,order_total,WWRY9M,YLZL83,2025-02-06T23:43:06,ops
15,36663,customer_phone,8LCR73,BSGOR8,2025-07-29T00:23:24,ops
16,13383,customer_phone,R5Y8FE,5DNUZL,2024-11-05T23:02:41,system
17,79150,notes,J03ZMJ,ULTB8S,2024-08-24T06:10:03,support
18,80068,notes,AXRDHB,ZR3T6C,2025-02-17T07:56:18,ops
19,26759,customer_phone,IPSKWP,IEBDDU,2026-02-09T15:18:12,system
20,16631,notes,U36R81,681LK1,2024-09-05T05:19:10,system
21,114756,current_status,O6NF42,6WM0YE,2025-08-23T03:26:17,support
22,63197,customer_phone,O1049H,NXXB4P,2024-01-19T17:29:36,ops
23,45715,order_total,LOXUR9,B0QEAZ,2025-04-14T07:00:31,ops
24,35756,current_status,OYJP4C,92DQP4,2025-12-21T18:36:27,support
25,114025,shipping_address,WLQPEW,M0JPBC,2025-01-27T17:19:58,system
26,11811,current_status,V87K93,5OEBDA,2024-10-07T05:52:12,system
27,114329,order_total,YE6XU0,Z2COFL,2024-02-17T21:52:02,ops
28,53200,order_total,GV8SM8,UHBX89,2024-10-25T07:45:36,ops
29,67678,notes,6T6VB4,90HL9Z,2024-09-18T19:03:57,system
30,6418,shipping_address,HSETUV,9F4JKV,2024-12-19T04:30:33,ops
31,9250,notes,GIM8EN,9BHWXD,2025-08-07T20:49:48,system
32,115419,shipping_address,ZL2O9A,8KW86H,2024-02-01T12:25:04,ops
33,70070,shipping_address,3THGWQ,OI9HFM,2025-12-10T12:18:12,ops
34,111888,order_total,V4TTRI,O78ABN,2025-02-11T20:09:54,support
35,91283,shipping_address,EM8YNX,3UX5U3,2026-01-05T17:58:33,system
36,85347,order_total,N5P2J1,KS534R,2025-11-27T03:31:51,ops
37,61038,customer_phone,8I8RHM,5TA1S5,2025-05-13T00:40:00,ops
38,87232,current_status,928BCO,MXHOQY,2024-02-11T14:47:14,support
39,16375,notes,E83W4P,P81C4U,2025-02-28T07:46:34,support
40,114306,customer_phone,DXSSD5,BZA239,2025-06-11T19:56:18,system
41,53721,current_status,9WCY6R,6QVQF8,2024-02-01T07:52:05,system
42,49181,customer_phone,33FBJI,V3IVYA,2025-04-21T18:07:09,system
43,63444,shipping_address,TEHAZN,SIO513,2024-04-20T02:04:11,system
44,38796,customer_phone,MOH2JD,D446V5,2024-12-12T23:16:40,system
45,105461,notes,2OZZHO,FZUTY3,2025-02-13T18:52:05,support
46,5794,current_status,I2W0TJ,7TSV56,2026-01-13T14:16:04,support
47,24361,order_total,9MKZSX,P13KQ9,2025-03-09T04:52:00,system
