order_item_id,order_id,product_id,quantity,unit_price,discount_rate,line_total
1,27245,7345,2,300.4,0.017,600.8
2,33247,5658,5,196.14,0.089,980.7
3,107322,7905,1,163.77,0.249,163.77
4,116137,4908,5,373.27,0.067,1866.35
5,119986,4140,3,405.07,0.035,1215.21
6,60779,2342,5,213.02,0.185,1065.1
7,18617,3824,5,74.57,0.006,372.85
8,66087,2064,2,140.85,0.241,281.7
9,68164,2170,1,330.36,0.126,330.36
10,1699,5107,4,331.25,0.096,1325.0
11,119176,1378,3,143.44,0.161,430.32
12,47928,1963,4,148.52,0.141,594.08
13,458,4819,3,320.49,0.168,961.47
14,119812,3222,2,217.1,0.035,434.2
15,90726,6983,3,45.01,0.094,135.03
16,63608,4705,3,195.4,0.122,586.2
17,109691,4366,4,91.77,0.054,367.08
18,77086,2317,2,147.06,0.171,294.12
19,18721,2460,5,287.23,0.248,1436.15
20,81107,504,1,423.29,0.133,423.29
21,39892,3089,4,459.6,0.002,1838.4
22,15273,6181,3,257.16,0.158,771.48
23,72021,5301,2,26.1,0.194,52.2
24,30104,4132,3,25.33,0.09,75.99
25,97014,5872,3,88.81,0.224,266.43
26,75930,7216,2,230.07,0.246,460.14
27,90765,1679,1,313.2,0.11,313.2
28,37338,7171,5,140.65,0.237,703.25
29,86605,3482,2,239.64,0.218,479.28
30,21212,7514,5,183.04,0.116,915.2
31,7127,6210,4,340.48,0.158,1361.92
32,89776,2959,1,399.78,0.084,399.78
33,37843,4516,1,287.03,0.212,287.03
34,21566,6139,4,399.02,0.142,1596.08
35,31807,2000,3,197.66,0.205,592.98
36,42557,4447,2,415.6,0.02,831.2
37,29879,3760,1,421.01,0.021,421.01
38,85558,2815,3,31.56,0.088,94.68
39,35751,1921,2,17.06,0.242,34.12
40,51623,4528,3,352.49,0.079,1057.47
41,119470,1093,1,245.97,0.042,245.97
42,65028,1512,1,6.17,0.126,6.17
43,32436,3585,3,77.09,0.18,231.27
44,118938,4139,2,113.93,0.237,227.86
45,80264,1096,1,146.61,0.221,146.61
46,71594,3373,5,235.83,0.013,1179.15
47,42656,5302,1,256.78,0.163,256.78
48,94478,5935,3,24.82,0.018,74.46
49,542,7848,1,152.81,0.184,152.81
50,34058,7440,3,167.81,0.124,503.43
51,36036,7659,2,306.5,0.229,613.0
52,59268,4770,5,236.11,0.039,1180.55
53,72094,4647,2,258.1,0.078,516.2
54,86830,5126,1,342.84,0.239,342.84
55,91310,7508,2,318.75,0.245,637.5
56,6384,3920,2,40.97,0.016,81.94
57,4334,2540,5,389.84,0.037,1949.2
58,38254,5869,4,46.12,0.061,184.48
59,21446,6183,4,386.01,0.011,1544.04
60,69423,6725,1,238.71,0.19,238.71
61,98297,3709,3,398.01,0.013,1194.03
62,96133,5397,4,381.68,0.122,1526.72
63,34669,7322,4,46.68,0.143,186.72
64,91782,6052,4,336.25,0.207,1345.0
65,105445,4790,2,68.4,0.206,136.8
66,413,4645,3,275.64,0.232,826.92
67,35334,6311,5,35.34,0.183,176.7
68,89057,1733,4,167.41,0.229,669.64
69,3662,5869,3,42.59,0.133,127.77
70,79137,951,4,274.83,0.003,1099.32
71,118390,1254,2,103.43,0.024,206.86
72,67407,5120,5,208.58,0.057,1042.9
73,74873,5448,1,65.8,0.203,65.8
74,112222,5805,3,242.42,0.039,727.26
75,78219,3613,5,128.52,0.242,642.6
76,17840,3897,5,110.85,0.184,554.25
77,14191,2953,1,257.48,0.009,257.48
78,84111,1477,4,344.75,0.024,1379.0
79,109597,6777,5,295.5,0.121,1477.5
80,49518,4039,5,93.58,0.088,467.9
81,52268,7535,4,454.83,0.027,1819.32
82,74897,5585,4,297.81,0.119,1191.24
83,79769,4227,2,444.43,0.017,888.86
84,5457,4196,2,173.2,0.072,346.4
85,62246,4115,4,358.95,0.029,1435.8
86,118549,182,4,36.29,0.115,145.16
87,68062,5472,5,320.27,0.123,1601.35
88,54621,6281,2,380.84,0.095,761.68
89,101980,6399,5,270.84,0.134,1354.2
90,106492,5403,5,414.41,0.151,2072.05
91,61489,3293,1,214.86,0.099,214.86
92,99064,3705,5,426.83,0.065,2134.15
93,90890,1190,4,169.25,0.244,677.0
94,86926,2928,5,25.98,0.037,129.9
95,42120,1388,1,357.34,0.232,357.34
96,21003,3774,1,20.54,0.038,20.54
97,64570,5589,3,115.32,0.177,345.96
98,29746,1290,2,169.31,0.049,338.62
99,30799,2818,5,71.61,0.003,358.05
100,110678,514,4,234.82,0.219,939.28
101,39106,2759,5,169.46,0.231,847.3
102,22861,6250,1,416.86,0.165,416.86
103,85117,4774,4,389.66,0.031,1558.64
104,24680,5808,2,173.78,0.129,347.56
105,113528,6422,3,230.47,0.122,691.41
106,116406,820,4,135.22,0.133,540.88
107,43888,4334,2,470.45,0.03,940.9
108,64637,5590,3,21.9,0.082,65.7
109,71174,4245,5,404.88,0.007,2024.4
110,69262,5366,4,162.01,0.003,648.04
111,23284,705,2,257.79,0.118,515.58
