status_history_id,order_id,status,changed_at,changed_by,reason
1,16114,shipped,2025-03-26T21:18:59,system,
2,109685,packed,2024-03-20T09:38:39,user,
3,24775,delivered,2025-04-25T19:06:26,ops,
4,19351,packed,2024-06-01T08:06:58,ops,
5,63463,created,2025-12-16T05:41:17,warehouse,
6,117746,delivered,2024-08-20T01:11:33,user,
7,59859,paid,2024-01-13T19:26:00,warehouse,
8,75053,created,2025-05-11T04:07:42,user,
9,106941,packed,2025-01-01T17:57:45,payment_gateway,
10,35334,paid,2025-08-26T19:46:23,system,
11,78529,shipped,2026-01-15T23:31:56,system,
12,54884,paid,2025-04-28T12:10:39,payment_gateway,
13,39117,packed,2024-06-25T08:52:21,payment_gateway,
14,9197,delivered,2025-07-11T22:45:57,warehouse,
15,119869,paid,2024-07-13T05:22:47,ops,
16,7953,packed,2024-07-04T11:41:47,user,
17,84152,shipped,2024-05-31T07:50:17,payment_gateway,
18,27150,packed,2024-08-13T16:17:56,payment_gateway,
19,41631,refunded,2026-01-26T16:35:13,payment_gateway,service_issue
20,49616,shipped,2026-02-22T11:35:50,user,
21,39800,paid,2024-04-06T07:33:48,ops,
22,88561,created,2025-09-20T22:05:21,user,
23,52615,packed,2025-06-25T18:20:56,warehouse,
24,101780,delivered,2025-01-16T12:23:24,warehouse,
25,40315,refunded,2025-03-03T19:32:41,warehouse,return
26,59992,shipped,2024-03-07T12:59:10,system,
27,43119,shipped,2025-10-20T08:00:48,ops,
28,88138,packed,2025-10-11T06:01:28,warehouse,
29,85734,shipped,2024-10-11T17:32:44,payment_gateway,
30,53957,paid,2025-04-14T07:59:46,payment_gateway,
31,17785,shipped,2026-02-14T22:35:22,ops,
32,9078,shipped,2025-02-25T20:37:43,system,
33,11884,paid,2024-03-04T13:17:59,ops,
34,13819,paid,2024-09-10T09:25:52,warehouse,
35,116452,delivered,2025-10-13T21:20:57,system,
36,74349,delivered,2026-02-14T18:18:21,system,
37,63930,created,2024-01-07T05:28:36,system,
38,88111,delivered,2024-05-06T09:56:38,ops,
39,15208,packed,2025-08-28T22:59:21,warehouse,
40,87019,shipped,2025-03-09T10:45:01,ops,
41,63960,delivered,2025-12-07T17:20:25,ops,
42,61736,packed,2025-01-10T07:23:11,ops,
43,82534,cancelled,2024-12-30T18:40:02,system,customer_request
44,32028,shipped,2025-07-06T19:02:26,system,
45,102824,packed,2024-10-22T09:23:21,payment_gateway,
46,45191,delivered,2024-03-01T05:00:16,user,
47,112656,paid,2025-11-28T01:18:48,system,
48,88821,delivered,2024-09-14T22:17:08,ops,
49,27970,delivered,2024-04-30T06:51:52,user,
50,21324,shipped,2025-05-21T14:09:23,system,
51,28303,delivered,2025-03-06T15:59:01,system,
52,26112,delivered,2025-06-24T23:07:06,payment_gateway,
53,83864,delivered,2025-02-09T13:46:26,warehouse,
54,16982,shipped,2024-04-06T09:20:53,warehouse,
55,90570,delivered,2025-09-10T08:57:04,warehouse,
56,7418,shipped,2025-11-27T19:32:07,ops,
57,61762,delivered,2025-09-02T00:14:01,user,
58,5380,delivered,2026-01-19T20:01:47,ops,
59,40926,packed,2024-10-17T09:44:38,user,
60,56515,paid,2025-12-25T07:01:42,ops,
61,81950,created,2025-03-31T21:01:51,ops,
62,29679,delivered,2024-05-05T02:49:26,ops,
63,70934,delivered,2025-06-25T07:47:41,system,
64,38829,cancelled,2025-09-30T07:08:58,payment_gateway,customer_request
65,36140,shipped,2025-04-21T00:37:37,warehouse,
66,17038,shipped,2025-02-19T22:22:58,warehouse,
67,85060,delivered,2024-09-10T08:11:04,user,
68,105674,delivered,2024-08-21T03:33:41,system,
69,86017,delivered,2026-01-27T06:56:35,user,
70,39907,paid,2025-03-08T11:39:33,payment_gateway,
71,6145,created,2024-05-29T23:10:36,user,
72,30359,shipped,2024-06-10T01:53:30,ops,
73,63724,delivered,2024-11-01T19:23:13,system,
74,79315,paid,2024-06-24T06:13:34,user,
75,111839,delivered,2024-02-25T17:47:06,warehouse,
76,3031,paid,2025-03-03T12:00:10,system,
77,101624,packed,2024-11-24T03:59:21,user,
78,48574,packed,2024-01-26T01:10:37,system,
79,44845,created,2025-01-30T18:10:59,ops,
80,97099,paid,2025-03-13T01:58:45,payment_gateway,
81,87866,paid,2025-03-30T06:26:43,user,
82,38480,paid,2024-11-06T21:07:42,system,
83,51437,packed,2025-11-27T21:23:50,system,
84,37782,created,2024-07-26T00:56:19,ops,
85,74778,delivered,2024-12-05T10:21:46,warehouse,
86,14199,paid,2024-11-30T13:42:05,system,
