order_id,customer_id,order_datetime,channel,currency,current_status,is_active,deleted_at,order_total
1,4033,2024-10-04T13:09:18,mobile,PYG,shipped,1,,4364.24
2,14465,2025-11-22T22:19:24,web,PYG,created,1,,1585.59
3,14400,2024-04-17T11:56:30,store,PYG,shipped,1,,152.32
4,29253,2025-01-21T16:06:08,web,PYG,delivered,1,,3963.79
5,4576,2024-04-09T21:35:12,store,PYG,shipped,1,,1818.8
6,25163,2024-08-21T21:35:00,store,PYG,shipped,1,,3533.81
7,8856,2025-03-09T12:24:27,phone,PYG,paid,1,,746.64
8,17384,2026-01-07T06:45:10,web,PYG,shipped,1,,187.76
9,10395,2025-01-12T20:48:40,web,PYG,paid,1,,4359.71
10,25579,2025-03-20T15:51:19,web,PYG,created,1,,185.55
11,28351,2024-10-29T06:22:11,store,PYG,delivered,1,,3018.89
12,10831,2025-11-07T12:00:24,mobile,PYG,delivered,1,,1327.12
13,20214,2024-01-12T12:06:56,store,PYG,cancelled,1,,305.76
14,16720,2024-03-29T06:16:58,store,PYG,paid,1,,0.0
15,16703,2026-01-20T23:05:44,mobile,PYG,cancelled,1,,3504.76
16,4156,2024-03-05T10:08:35,web,PYG,delivered,1,,1943.19
17,28154,2025-01-23T05:59:17,store,PYG,packed,1,,429.07
18,5425,2025-01-22T16:39:33,store,PYG,shipped,1,,2112.95
19,26983,2025-03-10T08:23:37,store,PYG,shipped,1,,0.0
20,5827,2024-11-11T20:10:14,phone,PYG,paid,1,,1312.27
21,7061,2025-11-02T19:23:56,mobile,PYG,shipped,1,,2751.14
22,6398,2025-04-23T20:53:16,mobile,PYG,delivered,1,,3735.95
23,26407,2024-11-09T17:48:30,web,PYG,delivered,1,,3647.35
24,4379,2024-10-05T02:01:16,web,PYG,packed,1,,2505.85
25,23070,2025-06-23T08:02:07,web,PYG,shipped,1,,1429.89
26,26418,2025-05-19T03:55:05,mobile,PYG,delivered,1,,0.0
27,9477,2024-08-28T23:25:33,web,PYG,paid,1,,3203.28
28,13183,2025-12-13T22:25:29,mobile,PYG,delivered,1,,690.82
29,7172,2024-12-03T21:04:30,store,PYG,cancelled,1,,319.08
30,1598,2025-04-06T00:49:23,web,PYG,created,1,,1048.58
31,20805,2024-01-23T12:46:29,web,PYG,created,1,,4394.7
32,29718,2024-04-26T20:50:33,store,PYG,shipped,1,,47.4
33,4081,2025-03-10T15:10:30,store,PYG,paid,1,,1727.45
34,12205,2024-03-24T18:19:11,mobile,PYG,paid,1,,211.41
35,17135,2024-09-16T10:27:43,store,PYG,paid,1,,5773.99
36,26610,2025-11-14T22:57:09,web,PYG,paid,1,,3003.09
37,28101,2024-12-15T04:06:42,web,PYG,paid,1,,1183.95
38,25855,2024-01-01T15:03:30,mobile,PYG,paid,1,,287.74
39,17779,2024-07-03T01:53:40,store,PYG,delivered,1,,2523.09
40,3149,2025-05-24T15:46:34,web,PYG,delivered,1,,4011.64
41,15986,2024-03-02T03:35:45,web,PYG,paid,1,,505.17
42,833,2025-06-15T05:50:22,web,PYG,paid,1,,4075.72
43,18578,2024-07-10T04:08:38,web,PYG,shipped,1,,1617.8
44,19229,2024-06-05T18:22:10,web,PYG,created,1,,2707.62
45,19240,2024-12-22T14:01:33,phone,PYG,packed,1,,3157.72
46,22046,2026-01-03T07:55:36,store,PYG,delivered,1,,2052.89
47,15324,2024-08-21T22:06:24,store,PYG,delivered,1,,2325.36
48,8714,2024-09-16T10:24:17,web,PYG,delivered,1,,798.32
49,18126,2025-05-10T12:00:23,web,PYG,paid,1,,1600.43
50,10487,2024-05-01T11:30:02,web,PYG,paid,1,,444.03
51,203,2024-04-18T20:35:06,mobile,PYG,paid,1,,1185.19
52,2489,2025-07-26T07:55:06,store,PYG,paid,1,,145.68
53,10328,2024-02-11T17:26:13,web,PYG,delivered,1,,2427.25
54,6043,2025-07-05T02:58:34,web,PYG,paid,1,,499.06
55,11237,2024-07-12T13:31:44,web,PYG,delivered,1,,1216.92
56,5363,2025-03-05T01:33:00,store,PYG,shipped,1,,516.78
57,12806,2024-06-08T02:28:26,mobile,PYG,delivered,1,,1314.68
58,17944,2024-04-20T05:16:52,web,PYG,delivered,1,,711.82
59,29320,2024-06-14T10:05:16,web,PYG,paid,1,,1228.62
60,8130,2024-04-04T12:58:35,phone,PYG,paid,1,,139.52
61,3626,2024-06-21T02:16:17,web,PYG,shipped,1,,136.34
62,15719,2025-11-17T09:49:59,web,USD,paid,1,,0.0
63,2350,2026-01-16T11:03:26,store,PYG,cancelled,1,,927.44
64,14708,2025-02-02T08:22:27,mobile,PYG,cancelled,1,,7027.71
65,2137,2025-08-31T13:13:33,phone,PYG,delivered,1,,2045.26
66,26156,2025-01-11T02:20:33,web,PYG,paid,1,,888.46
67,26192,2025-12-21T15:35:05,store,PYG,shipped,1,,885.05
68,24631,2024-12-12T10:03:59,mobile,PYG,packed,1,,0.0
69,14591,2025-08-19T02:46:03,web,PYG,paid,1,,1500.65
70,8405,2025-01-26T13:51:58,store,PYG,shipped,1,,1073.42
71,20530,2025-07-25T19:36:57,web,PYG,cancelled,1,,3132.41
72,4499,2025-09-01T13:37:53,web,PYG,paid,1,,461.4
73,24088,2024-02-14T02:19:18,web,PYG,cancelled,1,,1940.81
74,10587,2025-11-28T00:13:59,mobile,PYG,packed,1,,5096.8
75,25308,2025-04-10T12:17:24,web,USD,cancelled,1,,2332.84
76,9210,2024-01-21T03:49:44,web,PYG,cancelled,1,,1067.08
77,2100,2024-08-02T08:47:46,web,PYG,shipped,1,,1965.42
78,26355,2024-04-28T08:00:29,mobile,PYG,paid,1,,2225.97
79,6719,2024-04-08T03:53:34,web,PYG,created,1,,2285.61
80,7149,2025-06-30T04:54:13,web,PYG,delivered,1,,657.15
81,19711,2024-10-18T20:35:32,web,PYG,packed,1,,985.04
82,6397,2025-01-05T13:49:22,web,PYG,delivered,1,,1729.1
83,28567,2024-10-30T04:14:07,mobile,USD,created,1,,1414.6
84,14274,2025-11-29T08:01:45,mobile,PYG,delivered,1,,1253.06
