payment_id,order_id,payment_datetime,method,payment_status,amount,currency
1,40435,2025-01-03T19:44:37,transfer,rejected,3.91,PYG
2,94975,2024-09-20T14:44:28,card,approved,1848.38,PYG
3,60105,2025-12-07T01:25:22,card,approved,3190.18,PYG
4,53038,2025-03-31T16:28:56,card,approved,562.93,PYG
5,109292,2024-08-08T00:19:45,cash,pending,3691.42,PYG
6,100037,2024-06-28T04:11:28,wallet,approved,2543.27,PYG
7,54679,2025-05-03T22:36:17,card,approved,643.63,PYG
8,114673,2025-01-04T18:32:19,transfer,approved,1044.38,PYG
9,51357,2024-02-13T10:24:27,card,approved,1961.91,PYG
10,10870,2024-11-02T17:31:52,card,approved,1602.38,PYG
11,107104,2024-12-25T09:24:00,card,rejected,153.3,PYG
12,26559,2024-07-16T10:34:34,transfer,approved,1012.65,PYG
13,31276,2025-03-14T02:36:51,transfer,approved,2091.31,PYG
14,89122,2024-07-23T23:40:03,card,approved,3157.1,PYG
15,65533,2025-05-13T10:05:50,card,approved,1153.22,PYG
16,115729,2025-02-12T22:58:17,cash,approved,961.49,PYG
17,91612,2024-12-18T22:06:11,transfer,approved,0.0,PYG
18,59426,2024-02-04T11:08:03,card,approved,1340.16,PYG
19,16899,2024-06-28T17:28:46,transfer,pending,1628.44,PYG
20,101305,2024-02-14T20:09:03,wallet,approved,1745.34,PYG
21,33560,2024-10-07T22:16:26,card,rejected,18.14,PYG
22,71293,2025-02-02T12:55:10,cash,pending,4152.09,PYG
23,26027,2025-04-25T10:24:32,card,pending,4262.47,PYG
24,10103,2024-06-24T14:10:14,cash,approved,705.37,PYG
25,15359,2025-03-19T06:22:55,card,approved,2562.06,PYG
26,69709,2024-10-20T23:53:52,transfer,approved,18.6,PYG
27,60994,2024-10-28T04:06:40,transfer,approved,3556.13,PYG
28,62238,2025-06-03T06:09:16,transfer,rejected,0.0,PYG
29,10240,2024-10-04T10:17:05,cash,approved,1475.85,PYG
30,86712,2026-02-14T15:01:52,card,approved,2354.44,PYG
31,80787,2024-06-26T03:10:05,card,pending,1870.99,PYG
32,25727,2024-09-17T13:13:27,card,approved,2216.07,PYG
33,47392,2024-11-30T14:56:42,cash,approved,1191.06,USD
34,114443,2025-11-13T00:38:23,cash,approved,392.27,PYG
35,46782,2024-10-14T19:15:44,card,approved,2172.65,PYG
36,75715,2025-05-02T22:53:05,card,approved,2930.11,PYG
37,91588,2025-03-29T20:31:51,transfer,approved,570.68,PYG
38,7552,2025-05-09T10:56:41,card,rejected,31.39,PYG
39,40666,2024-05-10T11:51:11,card,approved,2130.78,PYG
40,87449,2024-05-19T15:17:54,cash,approved,622.39,PYG
41,2880,2025-06-20T05:54:56,card,approved,3729.6,PYG
42,13491,2024-03-19T12:22:51,transfer,approved,1568.16,PYG
43,86707,2025-12-28T01:01:11,card,approved,2644.6,PYG
44,88492,2025-02-25T04:06:43,card,approved,385.25,PYG
45,21379,2026-01-13T23:49:38,card,approved,58.92,PYG
46,79988,2024-11-02T07:32:55,card,approved,2250.96,PYG
47,12178,2025-11-12T21:48:49,card,approved,2453.05,PYG
48,49666,2025-03-25T09:52:46,transfer,pending,2400.49,PYG
49,92258,2024-02-13T20:47:14,card,approved,1118.66,USD
50,71905,2025-05-20T07:18:02,transfer,approved,164.1,PYG
51,44789,2025-09-13T21:52:46,wallet,approved,730.74,PYG
52,22750,2025-01-10T23:44:09,card,approved,3036.14,PYG
53,72552,2026-01-15T12:56:42,card,approved,858.04,PYG
54,109744,2025-04-02T21:04:55,cash,approved,1199.51,PYG
55,32952,2024-02-24T04:47:26,card,rejected,10.55,PYG
56,17861,2025-01-05T22:57:50,cash,approved,1053.47,PYG
57,117864,2025-03-19T21:50:14,transfer,refunded,4144.9,PYG
58,69549,2026-01-08T22:40:40,card,approved,5281.11,PYG
59,40447,2025-03-02T03:26:01,transfer,approved,2542.36,PYG
60,26150,2025-06-04T18:18:07,card,approved,615.39,PYG
61,1228,2025-10-24T12:22:04,cash,approved,1028.99,PYG
62,16834,2025-02-20T08:48:03,card,approved,765.07,PYG
63,47988,2024-09-29T01:41:04,cash,approved,646.56,PYG
64,67999,2024-06-01T04:32:39,card,pending,2230.09,PYG
65,89161,2025-11-05T19:52:00,wallet,approved,1722.3,PYG
66,73039,2025-07-26T13:07:51,card,approved,2516.45,PYG
67,51312,2025-11-07T12:19:19,card,approved,56.2,PYG
68,64050,2024-04-09T15:19:58,card,approved,713.27,PYG
69,82508,2025-03-20T13:43:59,transfer,approved,2842.92,USD
70,54216,2024-02-11T19:54:39,card,approved,525.7,PYG
71,105287,2025-05-25T18:41:16,transfer,approved,0.0,PYG
72,80654,2025-07-18T13:54:57,wallet,approved,0.0,PYG
73,84574,2024-05-14T01:00:34,card,refunded,2321.58,PYG
74,90385,2024-09-08T06:34:29,card,approved,3489.54,PYG
75,103857,2024-09-10T10:31:51,card,pending,1958.99,PYG
76,76163,2025-04-15T04:58:42,transfer,approved,1903.91,PYG
77,54467,2024-01-25T20:18:08,cash,rejected,0.29,PYG
78,95105,2024-08-07T04:00:07,card,approved,2016.38,PYG
79,17725,2024-12-31T06:01:16,transfer,rejected,747.22,PYG
80,63264,2024-05-19T16:25:46,card,pending,3983.12,PYG
81,13991,2026-01-03T04:18:30,card,refunded,1495.66,USD
82,55253,2025-11-29T12:13:40,cash,approved,2089.73,PYG
83,90731,2024-05-15T02:51:53,cash,approved,156.42,USD
84,70169,2025-07-22T02:51:29,cash,approved,1708.16,PYG
85,17758,2025-11-26T11:55:59,card,approved,122.21,PYG
86,114084,2025-05-04T16:51:44,card,approved,958.16,PYG
87,106783,2024-08-24T19:25:47,card,approved,1923.56,PYG
88,76951,2025-11-17T13:11:36,card,rejected,0.0,PYG
89,34575,2025-07-10T02:38:08,wallet,approved,3175.8,USD
90,101102,2024-11-22T21:44:11,card,approved,155.35,USD
91,94099,2024-03-22T18:42:10,transfer,pending,1655.13,PYG
92,54304,2024-09-27T09:06:22,cash,pending,2336.88,PYG
93,21034,2025-08-24T05:10:42,card,approved,1795.39,PYG
94,87789,2025-11-20T18:01:22,card,approved,8122.36,PYG
95,54148,2024-05-25T16:57:25,card,approved,4373.59,PYG
96,42052,2024-03-12T12:56:12,card,approved,869.53,PYG
